direct_object,unique_verbs
chairs,"['go' 'saw' 'find' nan 'looked_like' 'were' 'indicate' 'was' 'stop' 'get'
 'move' 'umm' 'see' 'like' 'think' ""there's"" 'uh']"
chalkboard,['looked' 'was']
change,['make']
circle,['go' 'take' 'get']
a circle,['go']
cleaning,['saw']
cleaning supplies,"['there was' 'there were' 'was' 'were' 'seemed' ""there's""]"
clock,['were' 'indicate' nan]
a clock,['is']
clocks,[nan]
closer,['get' 'move' 'go']
a closer photo,['take']
closer picture,['take']
closer to the ladder,['move']
the closest door,['face' 'go']
closest doorway,['take']
the closest doorway,['go' 'proceed']
the closest doorway near you,['move']
the closest one,['find']
clothes,"['say' 'like' 'have' 'include' 'hang' 'were' 'indicate' 'is' 'was'
 'hanging up']"
clothing,['were' 'indicate' 'to have' 'want' 'hanging' 'been' 'watered' 'see']
co,['move']
coke,['was']
coke can,['think' 'was']
a coke can,['found']
command,['change' 'clicked' 'opened' 'given' 'was']
commands,['gave']
a complete circle,['make']
completely around,['turn']
computer,"[nan 'move' 'is' ""there's"" 'has been' 'indicates' 'was' 'found' 'like'
 'um' ""didn't"" 'look']"
a computer,['was' 'is' 'okay']
a computer desk,[nan]
computers,"['forgot' ""there's"" 'think']"
cone,"['can' 'see' 'head' 'walk' 'is' 'do' 'move' 'go' 'forward' 'take' 'taken'
 'find' 'stop' 'moving forward' nan 'travel' 'found' 'saw' 'turn' 'uh']"
a cone,['find' 'is' 'move' 'thought' 'saw' 'take' 'see' 'tell' 'looks like']
the cone,"['is' 'travel' 'had' 'tend' 'move' 'see' 'do' 'go' 'return' 'turn' nan
 'move around' 'be' 'take' 'head']"
the cone on your right,['turn']
cones,"['were' 'have' 'seen' 'are' 'was' 'take' 'count' 'find' 'saw' 'tell'
 'okay' 'see' 'look' nan 'found' 'care' 'look for' 'search' 'do' 'be']"
construction,[nan]
the construction,['laid up']
a construction stand,['was']
construction tools,['was' 'scattered']
a container,"['go' 'find' 'see' 'be able to' 'use' 'move' 'seen' 'looks' 'is'
 'considered']"
the container,['is' 'describe']
container,"['think' 'use' 'be able to' 'do' 'see' 'tell' 'say' 'be' 'move'
 'moving forward' 'navigate' nan 'was' 'found']"
containerish,['was' 'looks']
containers,[nan 'see' 'found' 'viewed']
cooking material,['there was' 'there were']
cookware,['were' 'indicate']
coordinate,['think' 'use' 'do']
coordinate operations or activities,['think' 'use' 'coordinate' 'do']
coordinate operations or activities xxx,['think' 'use']
coordinates,['are']
the corner,['look']
correct,['is' 'think' 'are']
couch,"['is' ""there's"" 'has been' 'indicates' 'was' 'like']"
count,['lost' 'was']
counter clockwise,['rotate']
couple,['like']
a couple barrels,['found']
a couple of chairs,['okay' 'is']
a couple of drums,['saw' 'was']
a couple of inches,['move']
a couple paces,['go']
a couple posters,['had' 'were']
cover,['is' 'was' 'looked']
a crate,['saw']
the crate,['go' 'had' 'tend' 'move' 'watch']
crate,['move' 'looks' 'head']
crates,['saw']
crock pot,['have' 'include' 'saw' 'like' 'think']
cup,['is' 'was' 'looked']
a current visual,['get']
cylinder like container,['was']
cylindrical,['is']
cylindrical object,['found']
cyllin cylindrical black thing,['was']
the d,['move']
d,['turn']
date,['did' 'catch' nan]
the date,['is']
dates,"['crossed off' ""didn't know""]"
dead end,['make' 'turn']
degree,[nan 'please']
degrees,[nan 'do' 'know' 'turn' 'uh' 'uhh' 'be' 'is' 'pivot']
a desk,['was' 'okay' 'had' 'were' 'spoke' 'found']
the desk,['move']
desk,"['found' 'saw' 'go' 'reach' 'move' 'stop' 'is' ""there's"" 'has been'
 'indicates' 'was' 'looks' 'like']"
detail,['occupied' 'go' 'explain']
diagonals,['move']
a different alphabet,['uh']
a different cone,['move']
a different henry,['was']
a different one,['is']
dining room set,['see']
dining room table,['go']
the dining room table,['move']
the direction,['facing' 'continue']
direction,['proceed' 'take' 'reverse' 'go']
directly in front of you,['continue']
dish,['was' 'looks']
display,['saw']
distance,['be']
a door,['keep going' 'see' 'is' 'do' 'keep' 'go' 'open']
door,"['go' 'move' 'through' 'look' 't' 'face' 'go through' 'to be' 'turn'
 'came' 'enter' nan 'pass' 'head' 'into' 'is' 'be' 'proceed']"
the door,"['go' 'move' 'stop' 'see' 'open' 'turn' 'navigate' 'pull' 'face' 'travel'
 'walk' 'apologize' 'go in to' 'head' 'through' 'take']"
the door on the left,['move']
a door to your right,['is']
doors,"['check' 'were' 'tell' 'are' 'be' 'count' 'have' 'see' 'seen' 'looking'
 'help']"
a doorway,"['hit' 'be' 'does' 'look' 'is' 'thought' 'found' 'walk' 'see' 'go' 'move'
 'come' 'find' 'counts' 'travel' 'pass' 'looks']"
doorway,"['go' 'move' 'see' 'reach' 'turn' 'head' 'proceed' 'turn back' 'face' 'is'
 'exit' 'do' 'walk' 'get' nan 'through' 'go through' 'forward' 'enter'
 ""there's"" 'locate' 'stop' 'travel' 'run' 'mean' 'look' 'think' 'went'
 'keep' 'took' 'try' 'can' 'encounter' 'hit' 'find' 'moving forward' 'was'
 'search' 'for' 'check' 'point out' 'count' 'navigate' 'left' 'pass' 'be'
 'continue' 'turning' 'take' 'moving' 'saw' 'looks' 'came' 'back up'
 'drive' 'heading' 'counted' 'thought' 'facing' 'blocked' 'opening' 'to'
 'found']"
the doorway,"['move' 'turn' 'proceed' 'go' 'to go' 'through' 'exit' 'stop' 'pass'
 'face' 'back out' 'walk' 'take' 'get' 'continue' 'to be' 'heading'
 'enter' nan 'pull' 'drive' 'is' 'hit' 'ahead' 'look' 'forward' 'remember'
 'head']"
the doorway ahead,['go']
the doorway on the back wall,['turn' 'move']
the doorway on the right,['go']
doorway on the right,['move']
the doorway on your left,['go']
doorway or not,['was']
the doorways,['walk' 'move' 'take']
doorways,"['were' 'got' 'said' 'look' 'find' 'review' 'saw' 'see' 'counted' nan 'be'
 'are' 'looking' 'found' 'count' 'go through' 'is' 'know' ""there's"" 'add'
 'tally' 'okay' 'passed' 'seen' 'tell' 'can' 'check' 'go' 'marked' 'have'
 'find out' 'wanna' 'cut' 'do' 'figure out' 'search']"
doorwell,['go']
dooryo doorway,['is']
dor,['turn']
down,['go' 'been' 'hold' 'slow' 'press' 'move' 'held' 'turn']
down the hallway,['continue' 'turn' 'move' 'look' 'travel' 'go']
down to that wall,['move']
drinks,['is' 'was' 'were' 'hanging up']
drum,[nan 'found']
drums,['saw' 'put' 'carry']
due,['turn']
due east,['face']
due north,['turn']
due south,['rotate' 'pivot']
due west,['turn']
dvds,['take' 'look']
dvr,['was']
e,['head' 'into']
each question,['ask']
east,"['go' 'turn' 'travel' 'continue' 'face' 'take' 'move' 'pivot' 'can'
 'looking' 'head' 'rotate' 'into' 'drive' 'proceed' 'make' 'align'
 'be facing' 'keep' 'moving' 'hit']"
the east,['turn' 'was' 'move' 'facing']
east entrance,['go']
east twelve feet,['move']
the east wall,['go']
eight,['um' 'move' 'have' 'counted' 'wanna' 'were' 'saw']
eight degrees,['turn']
eight doors,['saw']
eight doorways,['saw' 'counted']
eight feet,['move' 'head' 'proceed' 'to move' 'travel' 'turn' 'go']
eight meters,['go']
eighteen degrees,['turn' 'pivot']
eighty,['turn']
eighty degrees,['turn' 'rotate']
eighty degrees right,['turn']
eighty degrees south,['turn']
eighty five degrees,['turn']
eighty seven degrees,['turn' 'move']
eighty turn,['do']
eleven,['saw' 'counting']
eleven doorways,['were']
eleven feet,['back up']
else,['see' 'explore']
the end,"['face' ""that's"" 'is']"
end,['go']
end of,['go']
end of hallway,['go' 'move forward']
the end of the alley,['go']
the end of the hall,['go' 'move']
the end of the hallway,['go' 'move' 'encounter' 'face' 'appears' 'travel']
the end of the hallway in front of you,['go']
the end of the room,['travel' 'go']
the end of the uh building,['go']
english,"['translate' 'written' 'had' 'tend' nan 'saw' ""couldn't tell"" 'did have'
 'was' 'looked like' 'was able to observe' 'understood' 'do' 'speak'
 'would speak' 'is' 'say' 'are' ""it's"" 'not' 'tell' 'has' 'were'
 'guessing' 'looked']"
english or a foreign language,['think' 'speakers' 'were' 'speakrs']
english wet floor sign,['was']
english writing,['had' 'tend']
the entire area,['cover']
the entire poster,['get']
the entire room,['taking' 'take' 'look']
the entire wall,['take']
entrance,['go' 'move' 'walk' nan 'to go into' 'continue' 'are' 'tell']
the entrance,['go' 'move']
entrances,['is']
entranceway,['go' 'walk']
entranceways,['found']
the entryway of that room,['back up']
entryways,['found']
the environment,"['indicates' 'has been occupied' 'do' ""there's"" 'has' 'was' 'think'
 'occupied' 'has been' 'looked' 'were' 'did' 'indicate'
 'has been recently occupied']"
environment,"['think' 'indicates' 'is' 'are' 'do' 'use' 'coordinate' 'was' 'could'
 ""there's"" 'say' 'try' 'exploring']"
equipment,['is']
equipment or storage space,['need' 'gathering']
even further,['back up']
everything,['found' 'find']
evidence,['were' 'was']
evidences,['were' 'was']
exercise,['end']
an exit,['find']
an explosive,['was' 'use' 'make' 'come up with' 'help']
an explosive or something like that,['make' 'hide']
f,['go' 'back' 'about' 'bout']
f twenty degrees,['rotate']
face,['turn' 'face' 'left' 'mean' nan 'uh']
face east,['turn']
face north,['rotate']
face south,['turn']
facing,['turn']
facing south,['align']
facing the wall,['remain']
fair enough,['okay']
family,['consider']
far south,['go']
the farther wall,['continue']
the farthest orange object,['go']
faster,['to be' 'go']
feet,"[nan 'go' 'move' 'travel' 'back up' 'back' 'away' 'walk' 'send' 'head'
 'into' 'proceed' 'forward' 'maybe' 'please' 'try']"
female,['are']
a few,['umm']
a few feet,['move']
a few more feet,['go']
ff,['move']
fff,['move' 'travel' 'turn']
fic,['send']
fido,['thanks' 'are']
fif,['turn']
fifteen,['go' 'rotate']
fifteen degrees,['rotate' 'turn' 'move' 'set']
fifteen degrees left,['turn' 'take']
fifteen degrees more,['turn']
fifteen degrees north,['turn']
fifteen degrees west,['turn']
fifteen doorways,['counted']
fifteen feet,"['go' 'move' 'walk' 'proceed' nan 'turn' 'about' 'moving' 'drive'
 'back up']"
fifteen feet west,['go']
fifteen inches,['go']
fifteen more degrees,['to turn' 'turn']
fifteen paces,['move']
fifty,['uh' 'uhh' 'move']
fifty degrees,['turn' nan 'move' 'meant' 'pivot']
fifty degrees left,['move']
fifty feet,['go' 'move' 'okay']
fifty feet forward,['move']
fifty five gallon drum container,['used' 'move']
fifty yards,['move']
the file cabinet,['move']
fire,[nan]
fire extinguisher,[nan 'move']
the fire extinguisher,['go' 'stop' 'move' 'get']
fire hydrant,['move' 'go']
first cone,['move']
the first cone,['move' 'see']
the first door,['move']
first door,['turn']
first doorway,['proceed']
the first doorway,['go' 'see' 'move' 'make' 'left' 'enter' 'face' 'through' 'get']
the first doorway on the left,['move']
the first entrance,['turn']
the first indentation in the building,['move']
first location,['go']
the first object,['tell' 'see']
the first open doorway,['to be']
the first orange cone,['move']
first picture,['move']
first right hallway,['move' 'turn']
the first room,['go' 'move']
the first shoe,['go']
the first traffic cone,['go']
five,"['go' 'were' 'move' 'forward' 'found' 'think' 'was' 'counting' 'proceed'
 'travel' 'try' 'saw' 'see' 'feed' 'uh' 'pivot']"
five and a half degrees,['turn']
five containers,['seen' 'might be able to use']
five degree,['turn' 'going off']
a five degree turn,['do']
a five degree turn to the right,['do']
five degrees,['move' 'turn' 'please' nan]
five degrees left,['pivot']
five degrees more,['have']
five degrees north,['tilt']
five degrees south,['pivot']
five doorways,['were' 'saw' 'um' 'found']
five fe feet,['move']
five feet,"['move' 'go' 'keep moving forward' 'forward' 'walk' 'head' 'continue'
 'rotate' 'keep' 'proceed' nan 'back up' 'back' 'drive' 'travel' 'come'
 'take' 'reverse' 'about' 'bout' 'stop']"
five feet east,['go']
five feet forward,['move' 'proceed' 'take']
five feet more,['go']
five feet north,['go']
five feet south,['move']
five feet tall,['was']
five ff feet,['move']
five foot,['move']
five gallon water jug,[nan]
five hundred degrees upwards,['move']
five inches,['go' 'moving' 'move']
five meters,['move' 'go' 'pause']
five more feet,['move' 'go' 'turn' 'keep going']
five more steps,['move']
five or ten degrees,['move']
five steps,['move']
five steps straight,['go']
a flashlight,['uh']
flat,['seemed' 'could' 'use' 'was' 'put']
a flat object,['is' 'lying']
floor,['wet' 'would be' 'there were' 'had']
food,"['were' 'indicate' 'saw' 'was' 'looks' 'have' 'include' 'seemed' 'be'
 'found' 'had']"
foot,['travel' nan 'proceed' 'please' 'go']
a foot,['like' 'go back' 'move']
a foot and a half,['move' 'go']
footwear,['find']
for,['move']
forder,['move']
a foreign language,"['were' 'say' 'think' 'saw' 'had' 'spoke' 'do' 'speak' 'would speak' 'is'
 'was' 'guess' 'believe' 'looked']"
foreign language,['writing' 'say' 'were' 'uh' 'speakers' 'was' 'guessing' 'had']
the foreign language,['writing']
foreign language pictures,['were']
foreign language signs,['were' 'was']
foreign languages,['speaking']
foreign printed stop sign,"[""couldn't tell"" 'did have' 'was' 'looked like' 'was able to observe']"
foreign writing,['looked' 'was' 'do' 'see']
a fort,['move']
forty degree,['turn']
a forty degree angle,['do']
a forty degree turn,['make']
forty degrees,['turn' nan 'rotate' 'move' 'pivot' 'to be']
forty degrees left,['move']
forty five,['try' 'turn' 'rotate']
a forty five degree,['move' 'make']
forty five degree,['turn']
forty five degree angle,['turn']
a forty five degree right turn,['make']
a forty five degree turn,['make']
forty five degrees,"['turn' 'rotate' 'move' nan 'pivot' 'go' 'is' 'maybe' 'left' 'have' 'make'
 'be' 'to the right']"
forty five degrees left,['rotate' 'turn' 'move']
forty five degrees north,['turn']
forty five degrees northeast,['turn']
forty five degrees northwest,['turn']
forty five degrees right,['move' nan 'turn']
forty five degrees south,['turn']
forty five degrees south west,['turn']
forty five degrees southwest,['turn']
forty five degrees to your right,['turn']
forty five degrees west,['turn' 'pivot']
forty five more degrees,['move' 'turn']
forty inches,['go']
forty-five degrees,['turn']
forward,"['mov' 'start' 'moving' 'move' 'go' 'forward' 'reach' 'hit' 'go through'
 'going' 'walk' 'meet' 'got' 'keep' 'see' 'can' 'look' 'stop' 'get' 'tell'
 'walking' 'send' 'say' 'proceed' 'continue' 'pull' 'steps' 'come' 'will'
 'begin' 'find' 'traveling' 'to' 'drive' 'enter' 'head' 'encounter' 'let'
 'face']"
forward about a foot,['move']
forward five,['go' 'say']
forward five feet,['move']
forward half a meter,['move']
forward one meter,['move']
forward to the left,['move']
forward to your right,['move' 'stop']
forward two meters,['go']
forward two steps,['continue']
forward zero point one meters,['move']
forwards,['walk' 'say' 'stop']
four,"[nan 'got' 'said' 'go' 'move' 'counted' 'like' 'make' 'send' 'counting'
 'believe' 'proceed' 'were']"
four degrees,['turn']
four doorways,['found' 'saw']
four feet,"['move' 'go' 'say' 'forward' 'back up' nan 'turn' 'head' 'drive' 'backup'
 'reverse' 'travel' 'proceed' 'continue' 'moving']"
four feet ahead,['go' 'move']
four feet forward,['move' 'go']
four feet south,['back']
the four first doorways,['move']
four internally,['were']
four meters,['pull' 'go']
four paces,['move']
four shoes,['saw' 'said']
four steps,['move']
fourteen degrees,['move']
fourteen doorways,['counted']
fourteen feet,['move']
a friend,['consider']
from,['go' 'came']
front,['move' 'go' 'through']
front room,['had']
fssstraight,['go']
a full rotation,['do']
fully,['turn']
furniture,[nan]
a furniture stand,['was']
further down,['move']
further south,['go']
gatorade bottles,['found' 'were']
go,['can' 'let' 'go' 'will']
go ahead,['can' 'go']
going,['get' 'keep' 'continue' 'need' 'wanna' 'try']
going forward,['keep going' 'see']
going forward through the room,['keep']
good,['sounds' 'question' 'be']
a good job,['doing']
a good picture,['move' 'take']
a good question,['is']
gray,['was' nan]
the gray object,['go']
great,['be']
green,['move']
the green arrow,['turn']
green object,['move']
green plant,['was']
the green tree,['go' 'move']
grees,['turn']
a grey shirt,"[""there's""]"
grocery bag,['had']
h,['mean' 'turn']
haha,['ha']
a half,['move' 'turn']
half a foot,['move' 'backup' 'go']
a half a foot,['backup' 'move']
half a meter,['back up']
hall,['move']
the hall,['go' 'stop' 'move' 'across' 'navigate']
the hallway,"['proceed' 'go' 'see' 'move' 'continue' 'get' 'drive' 'back down'
 'to the left' 'take' 'exit' 'up' 'uhh' 'send']"
hallway,"['back up' 'move' 'go' 'think' 'went' 'see' 'keep' 'face' 'continue'
 'travel' 'find' 'enter']"
a hallway,['is' 'see']
hard,['studies']
hard hats,['move' 'there was' 'there were']
hat,['was' 'were' 'seemed']
a hat,"['is' 'have' 'include' ""there's""]"
hats,['was' 'wet' 'would be' 'there were' 'had' 'is' 'were' 'hanging up' nan]
hazardous gas sources,['detect']
head,[nan]
headquarters,['do' 'use']
headquarters type,['could' 'be used']
headquarters type environment,"['was' ""didn't"" 'look']"
the helmet,['to']
helmets,['coordinate' 'use' 'mounted']
help,['thank' 'need']
henry,['thank' 'call']
here,['been']
the house,['see']
how far,['asking' 'is' 'see']
how many,['were' 'see']
how many cones,['are']
how many doorways,['review' 'were' 'keep' 'track']
how many doorways are in this space,['tell']
how many shoes,['were']
a hundred and eight degrees,['turn']
a hundred and eighty degree angle,['turn' 'make']
a hundred and eighty degree angles,['turn']
a hundred and eighty degree turn,['meant' 'make']
a hundred and eighty degrees,['turn' 'rotate' 'to' 'move']
a hundred and fifty degrees,['turn']
a hundred and fifty two degrees,['move']
a hundred and one degrees,['move']
a hundred and seventy degrees,['turn']
a hundred and sixty degree turn,['make']
a hundred and sixty degrees,['move' 'turn']
a hundred and ten degrees,['turn']
a hundred and thirty degrees,['turn']
a hundred and thirty five degrees,['turn']
a hundred and twenty degrees,['turn' 'travel' 'move' nan]
a hundred and twenty five degrees,['turn']
a hundred degrees,['move' 'turn']
a hundred eighty degree angle,['turn']
a hundred eighty degrees,['turn' 'move']
a hundred feet,['move']
hundred feet,['go']
a hundred fifty degrees,['turn']
a hundred sixty degrees,['turn']
a hundred twenty degrees,['turn']
hundred twenty degrees,['turn']
hurry up,['did' 'know' 'means']
i,['found' 'walk' 'say' 'stop' 'mean' 'turn' 'thought' 'saw']
i am ready,['say' 'wait']
if,['know' 'tell']
if any of that's indicative,['know' 'tell']
if there's a doorway in that room,['tell']
image,['take' 'back up' 'send' 'go' 'sent' 'grab' 'taken']
an image,['take']
impression,['gives']
in the first left,['make' 'go' 'left']
in this room,['have' 'been']
inches,['uh' nan]
initial stop,['go']
inside,['find' 'put' 'is']
inside that doorway,['can' 'tell' 'is']
inside the room,['can' 'get']
instruction,['meant']
an intersection,['get']
iron man poster,['indicates' 'think' 'was']
it,"['got' 'can' 'let' 'get' 'investigate' 'hold' 'call' nan 'is' 'looks'
 'move' 'found' ""don't"" 'assuming' 'make' 'walk' 'describe' 'tell'
 ""there's"" 'see' 'go' 'talk' 'occupied' 'explain' 'saw' 'hiding' 'take'
 'send' ""that's"" 'seen' 'be' 'think' 'turn' 'speak' 'do' 'know'
 'understood' 'was' 'held' 'have' 'stop' 'remember' 'crossed off'
 ""didn't know"" 'seemed' 'could' 'use' 'made' 'stand out' 'looked_like'
 'has' 'assume' 'believe' 'had' 'face' 'counted' 'were' 'turn right'
 'get to' 'back up' 'realize' 'noticed' 'press' 'read' 'go through' 'lost'
 'rephrase' 'keep' 'pass' 'back']"
item,['take']
items,['saw' 'put' 'carry' 'travel' 'see' 'was' 'were' 'indicate']
its picture,['taking']
jokes,['know']
jug of water,['is' 'was' 'were' 'hanging up']
juice or water bottle,['was']
kay,['ahh']
the kind of issues,"['are' ""we're""]"
kitchen,['was']
know,['do']
a l,['make']
l,['turn']
ladder,['use' 'was' 'drive' nan 'saw' 'carry' 'is']
a ladder,['is']
the ladder,['take' 'move' 'do' 'see' 'could' 'probably' 'be' 'reach' 'turn' 'go']
ladders,[nan 'are']
language,['know' 'be' 'read' 'understand']
laptop,['appears' 'be' 'has been living' 'saw' 'had' 'okay' 'was' nan]
a laptop,['found']
the large room,['go']
a large round container,['find']
