direct_object,unique_verbs
blue object,['Place' 'Bring' 'Move' 'Put']
blue pen,['pick up' 'put']
the blue piece of cloth,['Place' 'Move']
blue rag,['Move' 'slide' 'Place' 'be' 'Put' 'touches']
the blue rag,"['Place' 'Move' 'touches' 'Bring' 'Put' 'slide' 'Slide' 'place' 'be'
 'laying']"
blue rectangle,['Put']
the blue rectangle,['Bring' 'Place' 'Move' 'Put']
blue scoop,['Put']
the blue scoop,['Put' 'Move']
blue scrubber,['Put']
the blue scrubber,['Move']
the blue spatula,['Put' 'Move' 'place' 'hold' 'Place']
blue spatula,['Move' 'hold' 'place' 'change']
blue spoon,"['Put' 'move' 'Move' 'place' 'hold' 'Place' 'Pick up' 'placed' 'Pick'
 'put' 'pick up' 'slide' 'keep']"
the blue spoon,"['Move' 'Place' 'Put' 'place' 'Pick up' 'pick up' 'Take' 'pick' 'put'
 'move' 'is sitting' 'is facing' 'put on' 'slide' 'forms' 'lies' 'hold'
 'keep' 'Relocate' 'placed' 'Puts' 'picked up' 'moved']"
the blue spoon handle,['Put']
the blue table,['pick' 'place']
the blue table cloth,['to pic' 'press']
the blue tall,['Move']
blue towel,"['Place' 'slide' 'Move' 'place' 'put' 'move' 'pick up' 'Push' 'Slide'
 'Pick up' 'drop']"
the blue towel,"['Move' 'Place' 'Put' 'slide' 'place' 'move' 'Black' 'pick' 'put' 'Push'
 'Pick' 'drop']"
the blue toy,['Put' 'pick' 'Place']
blue toy,['move' 'put']
blue utensil,['Move' 'Put' 'Place' 'move']
the blue utensil,['Move' 'Put' 'Place' 'Lift' 'move']
the blue vegetable,['Move' 'Place']
the blue-handled scoop,['Move']
the blueberries,['Pick up' 'put']
blueberries,['take' 'put' 'Move']
blueberry,['put']
blur cloth,['Place']
the board,['put' 'place']
board,['place' 'move']
the board front,['move']
book,['open' 'reads']
bottle,['slide' nan 'Place' 'Move' 'move' 'Put' 'topple' 'standing']
the bottle,['Move' 'Place' 'pick' 'store' 'Pick up' 'put' 'Take' 'place' 'Put' 'move']
the bottle gourd,['Take' 'place']
the bottom,['Moves']
bottom,['Move']
bottom left,['Move' 'place']
bottom left close to pot,['Move' 'place']
the bottom left corner,['Place']
the bottom left corner of the table,['Move']
the bottom left edge,['Move']
bottom left hand corner,['Place']
the bottom left of stove,['Move']
bottom left of table,['Move' 'place' 'drop']
bottom left of the table,['Move' 'place']
bottom middle,['Move' 'place']
bottom of orange cloth,['Move']
the bottom of the fork,['Put']
the bottom of the mushroom stalk,['Place']
the bottom of the table,['Move' 'slide']
the bottom part of the towel,['Put']
the bottom right,['Move']
bottom right corner,['Move']
bottom right corner of table,['Move']
bottom right corner of the counter,['Place']
the bottom right corner of the table,['Move' 'move']
bottom right of table,['Move' 'place']
bottom right of the table,['Pick up' 'place' 'Move' 'put']
the bottom right pot,['Move' 'drop']
the bottom right side of the table,['put']
the bottom right table,['Move']
the bottom-left corner,['Put']
the bottom-left corner of the counter,['Move']
the bowel,['move' 'Move']
bowl,"['pick up' 'put' 'take' 'Place' 'place' 'Move' 'move' 'Put' 'Pick up'
 'Pickup' 'Bring' 'slide' 'moved' 'Take' 'lift' 'Pick' 'drop' 'placed']"
the bowl,"['Move' 'Pick up' 'place' 'Put' 'pick up' 'put' 'move' 'Place' 'to' 'Take'
 'Picks' 'keeps' 'Pickup' 'pick' 'store' 'slide' 'picking up' 'placing'
 'Bring' 'fix' 'drop' 'Set' 'Pick' 'remove']"
a bowl,['Take' 'Place']
bowl bottom left,['Move']
bowl of water,['Move']
box cutter,['pick up' 'put']
the brad,['Move']
bread,['Put' 'Move' 'put' 'pick up' 'place' 'Place' 'move' 'on' 'in']
the bread,['move' 'put' 'Put' 'Move' 'Take' 'place' 'Place' 'Pick up' 'Pick']
bread loaf,['Put']
the bread loaf,['put' 'Move']
the bread piece,['Put']
the bread roll,['pick up' 'place']
bread roll,['Move']
the breadstick,['Put']
the bred,['Place']
the brick wall,['Move' 'close']
the brinjal,['Take' 'place']
brinjal,['move' 'take' 'place' 'Place' 'Move']
bristles,['Move' 'pointing']
broccoli,"['Move' 'Place' 'pick' 'place' 'pull out' 'put' 'Put' 'Pick up' 'move'
 'pick up' 'Lift' 'take' 'Moves' 'stand' 'pointed']"
the broccoli,['Put' 'Place' 'Set' 'Move' 'Pick up' 'place' 'put' 'Take' 'Pick']
the broccoli spear,['place']
brown,['Move']
brown and white food,['Move']
brown and white item,['Place']
the brown and white item,['Pick' 'place' 'Place']
brown drumstick,['pace']
the brown package,['pick up' 'place']
the brown vegetable,['Place']
brown vegetable,['Place']
brown1fbox,['close' 'open']
brownie,['Pick' 'place']
the brush,"['pick up' 'place' 'Put' 'Move' 'Pick up' 'Place' 'put' 'move' 'Moves'
 'Set']"
brush,['move' 'Move' 'Place' 'place' 'put' 'Put' 'is' 'pointing' 'Take' 'Pickup']
the bun,['Place']
bunch of grapes,['Move']
bunny,['move']
the bunny,['Put' 'Move']
butter,['pick up' 'put']
the butter,['move' 'Put']
cabinet,['open' 'close']
the cake,['put' 'Place' 'replace' 'Pick']
cake,['place' 'placed' 'Put' 'Place']
the can,"['Move' 'Put' 'move' 'slide' 'Bring' 'close' 'Pick up' 'place' 'Place'
 'Push' 'put' 'Slide' 'touches']"
can,['Place' 'Move' 'moved' 'move' 'put' 'slide' 'moving' 'place' 'Push' 'Put']
can of sauce,['slide' 'Put']
the can of sauce,['Pick up' 'move']
can of tomato sauce,['Move' 'pointed']
the can with the red label,['Place']
can with the yellow label,['Place']
the candle,['put']
canned foods,['put']
canned good,['slide' 'Move' 'touches']
the canned good,['slide' 'Move']
the canned goods,['Place' 'slide' 'Move']
canned goods,['Place' 'pick up' 'place' 'slide' 'be' 'Move' 'Take']
the canned tomatoes,['Place']
cans,['Put' 'Move' 'point' 'pointing' 'drop' 'Place' 'put' 'be']
the cans,['Move' 'Place' 'Pick up' 'put' 'near']
cap,['put']
capsicum,['Move' 'place' 'Place' 'Grab' 'Take' 'pick' 'move' 'Put' 'remove']
capsicum shape,['Move']
cardboard,[nan 'topple' 'upright']
cardboard fence,['put']
cardboardfence,['take' 'put']
carrot,"['Pick' 'place' 'Place' 'move' 'Put' 'pick' 'put' 'Move' 'reaching' 'Take'
 'Pick up' 'take' 'drop' 'pick up' 'laying' 'hold']"
the carrot,['Move' 'place' 'Take' 'Put' 'move' 'Pick up' 'Place' 'put' 'Pick' 'pick']
the cauliflower,['move' 'place' 'Place']
cauliflower,['Pick up' 'put']
center,['move' 'Move' 'stay' 'Pick up']
center of the table,['move' 'keep' 'Move']
centr side,['move']
cereal,['put']
the charcoal cloth,['Move']
the checkered can,['slide']
cheese,"['Place' 'Move' 'put' 'slide' 'Put' 'Take out' 'move' 'pick up' 'set'
 'rotate' 'take' 'remove' 'place' 'Moove']"
the cheese,"['adjust' 'move' 'Put' 'Place' 'Move' 'pick up' 'put' 'Take' 'Pick up'
 'place' 'Pickup']"
the cheese slice,['pick' 'put' 'Move' 'Take' 'place']
cheese slice,['Take' 'put']
the cheese stick,['hold' 'place']
cheese wedge,['Place']
the cheese wedge,['Place']
the cherry,['Take' 'place' 'Put']
the chick,['Place']
chick,['Move']
chick leg,['Place']
chicken,['Move' 'put' 'place' 'is' 'Put' 'Set' 'move' 'hold' 'Place' 'Pick']
the chicken,['Pick up' 'put' 'Move' 'Remove' 'place' 'Put' 'pick up' 'Place']
chicken drumstick,['Move' 'place']
the chicken drumstick,['Place' 'Put']
chicken leg,['Place' 'Pick up' 'move' 'place' 'Put' 'Move']
the chicken leg,['Move' 'Place' 'Put']
chicken leg piece,['Move']
the chicken leg piece,['Take' 'place']
chicken piece,['put']
the chicken piece,['Move' 'Put' 'place' 'Take']
chicken thigh,['Move']
the chicken thigh,['Move']
the chicken wing,['Move' 'Place' 'place' 'Bring']
chicken wing,['Place' 'Put' 'slide' 'move' 'Move']
chickenwing,['put']
chili,['Move']
the chili pepper,['Place' 'Put']
chocolate,['Put' 'Move' 'put' 'Place']
the chocolate,['Move']
the chocolate bar,['Put']
the clear container,['Put']
cloth,"['slide' 'fold' 'Remove' 'place' 'Place' 'move' 'is' 'Move' 'set' 'Moves'
 'Pick up' 'put' 'Twist' 'Put' 'pick' 'moved' 'touching' 'placed' 'remove'
 'keep' 'Take' 'take' 'tuck' 'pick up' 'Pick' 'turn' 'head']"
the cloth,"['Move' 'Place' 'Put' 'move' 'place' 'to' 'put' 'slide' 'Moved' 'Slide'
 'Push' 'Pick up' 'hang' 'Take' 'Pick' 'centered' 'push' 'Relocate' 'Puts']"
the cloth of the table,['Place']
cloth table,['Move']
clothes,['take' 'put']
coffee mug,['Pick' 'fix']
colander,['Move' 'Place']
the colander,['Move' 'Place' 'Put' 'put' 'place']
the con,['put']
cone,['Move']
container,['put' 'Place' 'pick' 'place' 'move']
the container,['Move' 'Place' 'move' 'Take' 'place' 'Put']
contents,['Move']
cookiebox,['put']
the cooking pot,['Put']
the cooking utensil,['Move']
cooking utensil,['Move']
cooktop,['move']
the corn,"['Put' 'Pick up' 'place' 'put' 'Move' 'Place' 'move' 'Take' 'drop'
 'Relocate' 'pick']"
corn,"['put' 'Move' 'Pick up' 'place' 'Place' 'take' 'move' 'Remove' 'Put'
 'drop' 'Pick' 'pointing']"
corn cob,['Move']
the corn cob,['Put']
corncob,['put' 'Put' 'laying' 'Place']
the corncob,['Place']
the corner,['slide' 'Put' 'Move' 'Pick' 'keep']
corner,['slide' 'Place' 'put' 'Put' 'Move' 'move']
the corner of the table,['slide']
corner of the table,['move']
the corner opposite the strawberry,['Move']
counter,['put' 'slide' 'Place']
the counter,['Move' 'Place']
counter handle,['Move']
the cover,['move']
the cow,['put']
crackerbox,['put']
the crackpot,['Move']
the cream bun,['Move' 'place']
the crescent,['Put' 'Place']
crescent roll,['Put']
the crock pot,['Pick up' 'place']
the croissant,['Place' 'Move' 'put' 'Put' 'place' 'Push' 'Pick up']
croissant,['move' 'Remove' 'place' 'Place' 'put' 'Move']
the croissant and the pot,['move']
crossaint,['put']
cube,['put' 'in' 'or']
the cube,['Move' 'Put' 'Place']
cucumber,"['Take' 'place' 'Put' 'drop' 'move' 'take' 'put' 'Move' 'Place' 'laying'
 'is']"
the cucumber,['Place' 'Put' 'Pick up' 'place' 'Move' 'Pick' 'pick' 'put']
cup,['pick up' 'put' 'flip' 'take']
the cup,['put' 'Place' 'Take' 'place']
cup and wall,['Pick up' 'place']
cupcake,['Move']
the cupcake,['Move' 'drop' 'pick up']
cut egg plant,['Move' 'place']
cutting board,['put' 'place' 'Moved' 'Move']
the cutting board,['Place']
the dark blue object,['Put']
the dark purple napkin,['Place']
the dark rectangle,['Pull']
detergent,['put']
diagonal,['Move' 'laying']
a diagonal,['Move']
diagonal angle,['Place']
diagonally,['Pick' 'move']
the dip of the spoon,['Move' 'nearer']
the dish towel,['Put' 'Move']
dish towel,['Put']
dish towels,['Move']
the dishcloth,['Move']
the dishtowel,['Move']
distractors,['flip']
doll,['Take' 'place' 'pick']
the donut,['Put']
dough,['Move']
down,"['Put' 'laying' 'Move' 'Place' 'positioned' 'opening' 'closing' 'moving'
 'press' 'slide']"
down to the left near the white toy,['Grab' 'move']
the drain cover,['Move']
drain cover,['Put']
drawer,['close' 'pick up' 'put' 'open' 'put into']
drum stick,['Move' 'place']
the drumstick,['Place' 'place' 'Remove' 'Move' 'Take' 'move']
drumstick,['put' 'Place' 'Move' 'place']
drying rack,['move' 'put']
dual suspension bar,['move']
edge,['Move' 'move' 'Place' 'place' 'slide' 'is' 'Put']
edge of table,['Move']
the edge of the counter,['Move']
the edge of the table,['Move' 'touches' 'Place' 'Moving']
effector,['reaching']
egg,"['put' 'Placing' 'Move' 'Place' 'take' 'carrying' 'keeping' 'Put' 'place'
 'Pick up']"
the egg,"['Place' 'Move' 'place' 'put' 'Take' 'Put' 'Pick up' 'Pick' 'leave'
 'slide' 'placed']"
the egg plant,['Move' 'Put' 'Take' 'place']
egg plant,['Move' 'place']
the egg shape,['Put']
egg shape,['Put']
the egg tray,['Place']
the eggplant,['Put' 'Pick up' 'place' 'Place' 'move' 'Move' 'put' 'slide']
eggplant,"['put' 'Remove' 'place' 'move' 'Pick up' 'Move' 'Put' 'Place' 'Pickup'
 'Take' 'moved']"
eggroll,['Put']
the eggs,['Move']
empty corner,['slide' 'Put']
the empty corner,['Move']
the empty corner of the table,['Put']
the empty corner of the table in front of the microwave,['Move']
the empty front corner of the table,['Place']
the empty side of the table,['slide']
empty space,['Move']
end,['reaching']
everything,['slide']
facing,['Move']
far edge,['Place']
the far edge of the table,['Place']
the far left bottom edge on a corner,['picking up' 'moving']
the far left edge,['Move']
the far left edge of the table,['Place']
far right,['Move' 'place']
the far right corner of the table,['Move']
the far side right,['pick' 'keep']
the fat carrot,['Move']
faucet,['turn' 'move']
fence,[nan 'topple' 'upright']
finger board,['Move' 'place']
fish,['Move' 'move' 'put' 'place' 'Place']
the fish,['move' 'Put' 'Move' 'Place' 'put' 'Pick up' 'place']
the fish piece,['Take' 'place']
flap,['close' 'open']
flaps,['open' 'close']
the flower,['pick up' 'place']
foam,['place' 'placed' 'move' 'moved']
the folded blue cloth,['Place']
folded cloth,['slide']
the folded cloth,['Place' 'slide']
the folded green cloth,['Move']
food,['put' 'Remove' 'place' 'Put' 'move' 'Move']
the food,['put' 'Bring' 'Put' 'Grab' 'replace' 'move' 'Push' 'moving']
the food and bowl,['Put']
the food in the pot,['Move']
the food item,['Move' 'Place' 'put' 'Put']
food item,['Move']
food items,['Place']
the fork,"['Put' 'Place' 'Move' 'place' 'put' 'Pick up' 'move' 'hold' 'Grab'
 'straighten' 'Take']"
fork,"['Move' 'pointed' 'Moves' 'Place' 'pointing' 'put' 'Turn' 'move' 'Put'
 'touches' 'moved' 'place' 'stop' 'Pick up' 'pick up']"
the fork and bread,['slide']
fork tangs,['put']
the fork's handle,['Place' 'touch']
form,['move']
the form,['puts']
the french fry,['Place' 'Put' 'Move']
fridge,['close' 'open']
the frog,['Place']
front,['move' 'Place' 'put']
the front,['Bring' 'touches' 'Move']
the front centre-left of the counter,['Move']
front corner,['Move']
the front corner,['Move']
the front edge,['Place']
front edge of table,['Move']
front edge of the table,['Move' 'slide']
the front edge of the table,['Move' 'Place' 'bring']
the front left corner,['Place' 'Move']
front left corner,['Place']
the front left corner of the table,['Place']
the front left edge,['Move' 'Place']
the front left edge of the table,['bring']
front left side of the table,['Move']
the front of the cloth,['Move']
the front of the counter,['Move']
the front of the oven,['Move']
the front of the red and white can,['Move']
the front of the shelf,['Slide']
the front of the table,['Move']
the front of the towel,['place']
front right corner,['Place']
